title,authors,abstract,published,category,pdf_url,saved_title
Multilingual Evaluation of Long Context Retrieval and Reasoning,"Ameeta Agrawal, Andy Dang, Sina Bagheri Nezhad, Rhitabrat Pokharel, Russell Scheinberg","Recent large language models (LLMs) demonstrate impressive capabilities in
handling long contexts, some exhibiting near-perfect recall on synthetic
retrieval tasks. However, these evaluations have mainly focused on English text
and involved a single target sentence within lengthy contexts. Our work
investigates how LLM performance generalizes to multilingual settings with
multiple hidden target sentences. We comprehensively evaluate several
long-context LLMs on retrieval and reasoning tasks across five languages:
English, Vietnamese, Indonesian, Swahili, and Somali. These languages share the
Latin script but belong to distinct language families and resource levels. Our
analysis reveals a significant performance gap between languages. The
best-performing models such as Gemini-1.5 and GPT-4o, achieve around 96%
accuracy in English to around 36% in Somali with a single target sentence.
However, this accuracy drops to 40% in English and 0% in Somali when dealing
with three target sentences. Our findings highlight the challenges long-context
LLMs face when processing longer contexts, an increase in the number of target
sentences, or languages of lower resource levels.",2024-09-26 16:15:14+00:00,cs.CL,http://arxiv.org/pdf/2409.18006v1,Multilingual_Evaluation_of_Long_Context_Retrieval_and_Reasoning
Extracting Affect Aggregates from Longitudinal Social Media Data with Temporal Adapters for Large Language Models,"Georg Ahnert, Max Pellert, David Garcia, Markus Strohmaier","This paper proposes temporally aligned Large Language Models (LLMs) as a tool
for longitudinal analysis of social media data. We fine-tune Temporal Adapters
for Llama 3 8B on full timelines from a panel of British Twitter users, and
extract longitudinal aggregates of emotions and attitudes with established
questionnaires. We validate our estimates against representative British survey
data and find strong positive, significant correlations for several collective
emotions. The obtained estimates are robust across multiple training seeds and
prompt formulations, and in line with collective emotions extracted using a
traditional classification model trained on labeled data. To the best of our
knowledge, this is the first work to extend the analysis of affect in LLMs to a
longitudinal setting through Temporal Adapters. Our work enables new approaches
towards the longitudinal analysis of social media data.",2024-09-26 16:02:00+00:00,cs.CY,http://arxiv.org/pdf/2409.17990v1,Extracting_Affect_Aggregates_from_Longitudinal_Social_Media_Data_with_Temporal_Adapters_for_Large_Language_Models
BEATS: Optimizing LLM Mathematical Capabilities with BackVerify and Adaptive Disambiguate based Efficient Tree Search,"Linzhuang Sun, Hao Liang, Wentao Zhang","Large Language Models (LLMs) have exhibited exceptional performance across a
broad range of tasks and domains. However, they still encounter difficulties in
solving mathematical problems due to the rigorous and logical nature of
mathematics. Previous studies have employed techniques such as supervised
fine-tuning (SFT), prompt engineering, and search-based methods to improve the
mathematical problem-solving abilities of LLMs. Despite these efforts, their
performance remains suboptimal and demands substantial computational resources.
To address this issue, we propose a novel approach, BEATS, to enhance
mathematical problem-solving abilities. Our method leverages newly designed
prompts that guide the model to iteratively rewrite, advance by one step, and
generate answers based on previous steps. Additionally, we introduce a new
back-verification technique that uses LLMs to validate the correctness of the
generated answers. Furthermore, we employ a pruning tree search to optimize
search time while achieving strong performance. Notably, our method improves
Qwen2-7b-Instruct's score from 36.94 to 61.52, outperforming GPT4's 42.5 on the
MATH benchmark.",2024-09-26 15:47:42+00:00,cs.CL,http://arxiv.org/pdf/2409.17972v1,BEATS_Optimizing_LLM_Mathematical_Capabilities_with_BackVerify_and_Adaptive_Disambiguate_based_Efficient_Tree_Search
Weak-To-Strong Backdoor Attacks for LLMs with Contrastive Knowledge Distillation,"Shuai Zhao, Leilei Gan, Zhongliang Guo, Xiaobao Wu, Luwei Xiao, Xiaoyu Xu, Cong-Duy Nguyen, Luu Anh Tuan","Despite being widely applied due to their exceptional capabilities, Large
Language Models (LLMs) have been proven to be vulnerable to backdoor attacks.
These attacks introduce targeted vulnerabilities into LLMs by poisoning
training samples and full-parameter fine-tuning. However, this kind of backdoor
attack is limited since they require significant computational resources,
especially as the size of LLMs increases. Besides, parameter-efficient
fine-tuning (PEFT) offers an alternative but the restricted parameter updating
may impede the alignment of triggers with target labels. In this study, we
first verify that backdoor attacks with PEFT may encounter challenges in
achieving feasible performance. To address these issues and improve the
effectiveness of backdoor attacks with PEFT, we propose a novel backdoor attack
algorithm from weak to strong based on contrastive knowledge distillation
(W2SAttack). Specifically, we poison small-scale language models through
full-parameter fine-tuning to serve as the teacher model. The teacher model
then covertly transfers the backdoor to the large-scale student model through
contrastive knowledge distillation, which employs PEFT. Theoretical analysis
reveals that W2SAttack has the potential to augment the effectiveness of
backdoor attacks. We demonstrate the superior performance of W2SAttack on
classification tasks across four language models, four backdoor attack
algorithms, and two different architectures of teacher models. Experimental
results indicate success rates close to 100% for backdoor attacks targeting
PEFT.",2024-09-26 15:20:37+00:00,cs.CR,http://arxiv.org/pdf/2409.17946v1,WeakToStrong_Backdoor_Attacks_for_LLMs_with_Contrastive_Knowledge_Distillation
Atlas-Chat: Adapting Large Language Models for Low-Resource Moroccan Arabic Dialect,"Guokan Shang, Hadi Abdine, Yousef Khoubrane, Amr Mohamed, Yassine Abbahaddou, Sofiane Ennadir, Imane Momayiz, Xuguang Ren, Eric Moulines, Preslav Nakov, Michalis Vazirgiannis, Eric Xing","We introduce Atlas-Chat, the first-ever collection of large language models
specifically developed for dialectal Arabic. Focusing on Moroccan Arabic, also
known as Darija, we construct our instruction dataset by consolidating existing
Darija language resources, creating novel datasets both manually and
synthetically, and translating English instructions with stringent quality
control. Atlas-Chat-9B and 2B models, fine-tuned on the dataset, exhibit
superior ability in following Darija instructions and performing standard NLP
tasks. Notably, our models outperform both state-of-the-art and
Arabic-specialized LLMs like LLaMa, Jais, and AceGPT, e.g., achieving a 13%
performance boost over a larger 13B model on DarijaMMLU, in our newly
introduced evaluation suite for Darija covering both discriminative and
generative tasks. Furthermore, we perform an experimental analysis of various
fine-tuning strategies and base model choices to determine optimal
configurations. All our resources are publicly accessible, and we believe our
work offers comprehensive design methodologies of instruction-tuning for
low-resource language variants, which are often neglected in favor of data-rich
languages by contemporary LLMs.",2024-09-26 14:56:38+00:00,cs.CL,http://arxiv.org/pdf/2409.17912v1,AtlasChat_Adapting_Large_Language_Models_for_LowResource_Moroccan_Arabic_Dialect
Learning to Love Edge Cases in Formative Math Assessment: Using the AMMORE Dataset and Chain-of-Thought Prompting to Improve Grading Accuracy,"Owen Henkel, Hannah Horne-Robinson, Maria Dyshel, Nabil Ch, Baptiste Moreau-Pernet, Ralph Abood","This paper introduces AMMORE, a new dataset of 53,000 math open-response
question-answer pairs from Rori, a learning platform used by students in
several African countries and conducts two experiments to evaluate the use of
large language models (LLM) for grading particularly challenging student
answers. The AMMORE dataset enables various potential analyses and provides an
important resource for researching student math acquisition in understudied,
real-world, educational contexts. In experiment 1 we use a variety of
LLM-driven approaches, including zero-shot, few-shot, and chain-of-thought
prompting, to grade the 1% of student answers that a rule-based classifier
fails to grade accurately. We find that the best-performing approach --
chain-of-thought prompting -- accurately scored 92% of these edge cases,
effectively boosting the overall accuracy of the grading from 98.7% to 99.9%.
In experiment 2, we aim to better understand the consequential validity of the
improved grading accuracy, by passing grades generated by the best-performing
LLM-based approach to a Bayesian Knowledge Tracing (BKT) model, which estimated
student mastery of specific lessons. We find that relatively modest
improvements in model accuracy at the individual question level can lead to
significant changes in the estimation of student mastery. Where the rules-based
classifier currently used to grade student, answers misclassified the mastery
status of 6.9% of students across their completed lessons, using the LLM
chain-of-thought approach this misclassification rate was reduced to 2.6% of
students. Taken together, these findings suggest that LLMs could be a valuable
tool for grading open-response questions in K-12 mathematics education,
potentially enabling encouraging wider adoption of open-ended questions in
formative assessment.",2024-09-26 14:51:40+00:00,cs.AI,http://arxiv.org/pdf/2409.17904v1,Learning_to_Love_Edge_Cases_in_Formative_Math_Assessment_Using_the_AMMORE_Dataset_and_ChainofThought_Prompting_to_Improve_Grading_Accuracy
EMMA-500: Enhancing Massively Multilingual Adaptation of Large Language Models,"Shaoxiong Ji, Zihao Li, Indraneil Paul, Jaakko Paavola, Peiqin Lin, Pinzhen Chen, Dayyán O'Brien, Hengyu Luo, Hinrich Schütze, Jörg Tiedemann, Barry Haddow","In this work, we introduce EMMA-500, a large-scale multilingual language
model continue-trained on texts across 546 languages designed for enhanced
multilingual performance, focusing on improving language coverage for
low-resource languages. To facilitate continual pre-training, we compile the
MaLA corpus, a comprehensive multilingual dataset enriched with curated
datasets across diverse domains. Leveraging this corpus, we conduct extensive
continual pre-training of the Llama 2 7B model, resulting in EMMA-500, which
demonstrates robust performance across a wide collection of benchmarks,
including a comprehensive set of multilingual tasks and PolyWrite, an
open-ended generation benchmark developed in this study. Our results highlight
the effectiveness of continual pre-training in expanding large language models'
language capacity, particularly for underrepresented languages, demonstrating
significant gains in cross-lingual transfer, task generalization, and language
adaptability.",2024-09-26 14:40:45+00:00,cs.CL,http://arxiv.org/pdf/2409.17892v1,EMMA500_Enhancing_Massively_Multilingual_Adaptation_of_Large_Language_Models
Efficient Arbitrary Precision Acceleration for Large Language Models on GPU Tensor Cores,"Shaobo Ma, Chao Fang, Haikuo Shao, Zhongfeng Wang","Large language models (LLMs) have been widely applied but face challenges in
efficient inference. While quantization methods reduce computational demands,
ultra-low bit quantization with arbitrary precision is hindered by limited GPU
Tensor Core support and inefficient memory management, leading to suboptimal
acceleration. To address these challenges, we propose a comprehensive
acceleration scheme for arbitrary precision LLMs. At its core, we introduce a
novel bipolar-INT data format that facilitates parallel computing and supports
symmetric quantization, effectively reducing data redundancy. Building on this,
we implement an arbitrary precision matrix multiplication scheme that
decomposes and recovers matrices at the bit level, enabling flexible precision
while maximizing GPU Tensor Core utilization. Furthermore, we develop an
efficient matrix preprocessing method that optimizes data layout for subsequent
computations. Finally, we design a data recovery-oriented memory management
system that strategically utilizes fast shared memory, significantly enhancing
kernel execution speed and minimizing memory access latency. Experimental
results demonstrate our approach's effectiveness, with up to 13\times speedup
in matrix multiplication compared to NVIDIA's CUTLASS. When integrated into
LLMs, we achieve up to 6.7\times inference acceleration. These improvements
significantly enhance LLM inference efficiency, enabling broader and more
responsive applications of LLMs.",2024-09-26 14:17:58+00:00,cs.LG,http://arxiv.org/pdf/2409.17870v1,Efficient_Arbitrary_Precision_Acceleration_for_Large_Language_Models_on_GPU_Tensor_Cores
Language Models as Zero-shot Lossless Gradient Compressors: Towards General Neural Parameter Prior Models,"Hui-Po Wang, Mario Fritz","Despite the widespread use of statistical prior models in various fields,
such models for neural network gradients have long been overlooked. The
inherent challenge stems from their high-dimensional structures and complex
interdependencies, which complicate effective modeling. In this work, we
demonstrate the potential of large language models (LLMs) to act as gradient
priors in a zero-shot setting. We examine the property by considering lossless
gradient compression -- a critical application in distributed learning -- that
depends heavily on precise probability modeling. To achieve this, we introduce
LM-GC, a novel method that integrates LLMs with arithmetic coding. Our
technique converts plain gradients into text-like formats, enhancing token
efficiency by up to 38 times compared to their plain representations. We ensure
that this data conversion maintains a close alignment with the structure of
plain gradients and the symbols commonly recognized by LLMs. Our experiments
indicate that LM-GC surpasses existing state-of-the-art lossless compression
methods, improving compression rates by 10\% up to 17.2\% across various
datasets and architectures. Additionally, our approach shows promising
compatibility with lossy compression techniques such as quantization and
sparsification. These findings highlight the significant potential of LLMs as a
model for effectively handling gradients. We will release the source code upon
publication.",2024-09-26 13:38:33+00:00,cs.LG,http://arxiv.org/pdf/2409.17836v1,Language_Models_as_Zeroshot_Lossless_Gradient_Compressors_Towards_General_Neural_Parameter_Prior_Models
PEDRO: Parameter-Efficient Fine-tuning with Prompt DEpenDent Representation MOdification,"Tianfang Xie, Tianjing Li, Wei Zhu, Wei Han, Yi Zhao","Due to their substantial sizes, large language models (LLMs) are typically
deployed within a single-backbone multi-tenant framework. In this setup, a
single instance of an LLM backbone must cater to multiple users or tasks
through the application of various parameter-efficient fine-tuning (PEFT)
models. Despite the availability of numerous effective PEFT techniques such as
LoRA, there remains a need for a PEFT approach that achieves both high
efficiency during inference and competitive performance on downstream tasks. In
this research, we introduce a new and straightforward PEFT methodology named
\underline{P}rompt D\underline{E}pen\underline{D}ent \underline{R}epresentation
M\underline{O}dification (PEDRO). The proposed method involves integrating a
lightweight vector generator into each Transformer layer, which generates
vectors contingent upon the input prompts. These vectors then modify the hidden
representations created by the LLM through a dot product operation, thereby
influencing the semantic output and generated content of the model. Extensive
experimentation across a variety of tasks indicates that: (a) PEDRO surpasses
recent PEFT benchmarks when using a similar number of tunable parameters. (b)
Under the single-backbone multi-tenant deployment model, PEDRO exhibits
superior efficiency compared to LoRA, indicating significant industrial
potential.",2024-09-26 13:36:00+00:00,cs.CL,http://arxiv.org/pdf/2409.17834v1,PEDRO_ParameterEfficient_Finetuning_with_Prompt_DEpenDent_Representation_MOdification
"BeanCounter: A low-toxicity, large-scale, and open dataset of business-oriented text","Siyan Wang, Bradford Levy","Many of the recent breakthroughs in language modeling have resulted from
scaling effectively the same model architecture to larger datasets. In this
vein, recent work has highlighted performance gains from increasing training
dataset size and quality, suggesting a need for novel sources of large-scale
datasets. In this work, we introduce BeanCounter, a public dataset consisting
of more than 159B tokens extracted from businesses' disclosures. We show that
this data is indeed novel: less than 0.1% of BeanCounter appears in Common
Crawl-based datasets and it is an order of magnitude larger than datasets
relying on similar sources. Given the data's provenance, we hypothesize that
BeanCounter is comparatively more factual and less toxic than web-based
datasets. Exploring this hypothesis, we find that many demographic identities
occur with similar prevalence in BeanCounter but with significantly less toxic
context relative to other datasets. To demonstrate the utility of BeanCounter,
we evaluate and compare two LLMs continually pre-trained on BeanCounter with
their base models. We find an 18-33% reduction in toxic generation and improved
performance within the finance domain for the continually pretrained models.
Collectively, our work suggests that BeanCounter is a novel source of
low-toxicity and high-quality domain-specific data with sufficient scale to
train multi-billion parameter LLMs.",2024-09-26 13:26:46+00:00,cs.CL,http://arxiv.org/pdf/2409.17827v2,BeanCounter_A_lowtoxicity_largescale_and_open_dataset_of_businessoriented_text
Inference-Time Language Model Alignment via Integrated Value Guidance,"Zhixuan Liu, Zhanhui Zhou, Yuanfu Wang, Chao Yang, Yu Qiao","Large language models are typically fine-tuned to align with human
preferences, but tuning large models is computationally intensive and complex.
In this work, we introduce $\textit{Integrated Value Guidance}$ (IVG), a method
that uses implicit and explicit value functions to guide language model
decoding at token and chunk-level respectively, efficiently aligning large
language models purely at inference time. This approach circumvents the
complexities of direct fine-tuning and outperforms traditional methods.
Empirically, we demonstrate the versatility of IVG across various tasks. In
controlled sentiment generation and summarization tasks, our method
significantly improves the alignment of large models using inference-time
guidance from $\texttt{gpt2}$-based value functions. Moreover, in a more
challenging instruction-following benchmark AlpacaEval 2.0, we show that both
specifically tuned and off-the-shelf value functions greatly improve the
length-controlled win rates of large models against $\texttt{gpt-4-turbo}$
(e.g., $19.51\% \rightarrow 26.51\%$ for $\texttt{Mistral-7B-Instruct-v0.2}$
and $25.58\% \rightarrow 33.75\%$ for $\texttt{Mixtral-8x7B-Instruct-v0.1}$
with Tulu guidance).",2024-09-26 13:15:18+00:00,cs.CL,http://arxiv.org/pdf/2409.17819v1,InferenceTime_Language_Model_Alignment_via_Integrated_Value_Guidance
Self-supervised Preference Optimization: Enhance Your Language Model with Preference Degree Awareness,"Jian Li, Haojing Huang, Yujia Zhang, Pengfei Xu, Xi Chen, Rui Song, Lida Shi, Jingwen Wang, Hao Xu","Recently, there has been significant interest in replacing the reward model
in Reinforcement Learning with Human Feedback (RLHF) methods for Large Language
Models (LLMs), such as Direct Preference Optimization (DPO) and its variants.
These approaches commonly use a binary cross-entropy mechanism on pairwise
samples, i.e., minimizing and maximizing the loss based on preferred or
dis-preferred responses, respectively. However, while this training strategy
omits the reward model, it also overlooks the varying preference degrees within
different responses. We hypothesize that this is a key factor hindering LLMs
from sufficiently understanding human preferences. To address this problem, we
propose a novel Self-supervised Preference Optimization (SPO) framework, which
constructs a self-supervised preference degree loss combined with the alignment
loss, thereby helping LLMs improve their ability to understand the degree of
preference. Extensive experiments are conducted on two widely used datasets of
different tasks. The results demonstrate that SPO can be seamlessly integrated
with existing preference optimization methods and significantly boost their
performance to achieve state-of-the-art performance. We also conduct detailed
analyses to offer comprehensive insights into SPO, which verifies its
effectiveness. The code is available at https://github.com/lijian16/SPO.",2024-09-26 12:37:26+00:00,cs.CL,http://arxiv.org/pdf/2409.17791v1,Selfsupervised_Preference_Optimization_Enhance_Your_Language_Model_with_Preference_Degree_Awareness
Few-shot Pairwise Rank Prompting: An Effective Non-Parametric Retrieval Model,"Nilanjan Sinhababu, Andrew Parry, Debasis Ganguly, Debasis Samanta, Pabitra Mitra","A supervised ranking model, despite its advantage of being effective, usually
involves complex processing - typically multiple stages of task-specific
pre-training and fine-tuning. This has motivated researchers to explore simpler
pipelines leveraging large language models (LLMs) that are capable of working
in a zero-shot manner. However, since zero-shot inference does not make use of
a training set of pairs of queries and their relevant documents, its
performance is mostly worse than that of supervised models, which are trained
on such example pairs. Motivated by the existing findings that training
examples generally improve zero-shot performance, in our work, we explore if
this also applies to ranking models. More specifically, given a query and a
pair of documents, the preference prediction task is improved by augmenting
examples of preferences for similar queries from a training set. Our proposed
pairwise few-shot ranker demonstrates consistent improvements over the
zero-shot baseline on both in-domain (TREC DL) and out-domain (BEIR subset)
retrieval benchmarks. Our method also achieves a close performance to that of a
supervised model without requiring any complex training pipeline.",2024-09-26 11:19:09+00:00,cs.IR,http://arxiv.org/pdf/2409.17745v2,Fewshot_Pairwise_Rank_Prompting_An_Effective_NonParametric_Retrieval_Model
Episodic Memory Verbalization using Hierarchical Representations of Life-Long Robot Experience,"Leonard Bärmann, Chad DeChant, Joana Plewnia, Fabian Peller-Konrad, Daniel Bauer, Tamim Asfour, Alex Waibel","Verbalization of robot experience, i.e., summarization of and question
answering about a robot's past, is a crucial ability for improving human-robot
interaction. Previous works applied rule-based systems or fine-tuned deep
models to verbalize short (several-minute-long) streams of episodic data,
limiting generalization and transferability. In our work, we apply large
pretrained models to tackle this task with zero or few examples, and
specifically focus on verbalizing life-long experiences. For this, we derive a
tree-like data structure from episodic memory (EM), with lower levels
representing raw perception and proprioception data, and higher levels
abstracting events to natural language concepts. Given such a hierarchical
representation built from the experience stream, we apply a large language
model as an agent to interactively search the EM given a user's query,
dynamically expanding (initially collapsed) tree nodes to find the relevant
information. The approach keeps computational costs low even when scaling to
months of robot experience data. We evaluate our method on simulated household
robot data, human egocentric videos, and real-world robot recordings,
demonstrating its flexibility and scalability.",2024-09-26 10:16:08+00:00,cs.RO,http://arxiv.org/pdf/2409.17702v1,Episodic_Memory_Verbalization_using_Hierarchical_Representations_of_LifeLong_Robot_Experience
"MoJE: Mixture of Jailbreak Experts, Naive Tabular Classifiers as Guard for Prompt Attacks","Giandomenico Cornacchia, Giulio Zizzo, Kieran Fraser, Muhammad Zaid Hamed, Ambrish Rawat, Mark Purcell","The proliferation of Large Language Models (LLMs) in diverse applications
underscores the pressing need for robust security measures to thwart potential
jailbreak attacks. These attacks exploit vulnerabilities within LLMs, endanger
data integrity and user privacy. Guardrails serve as crucial protective
mechanisms against such threats, but existing models often fall short in terms
of both detection accuracy, and computational efficiency. This paper advocates
for the significance of jailbreak attack prevention on LLMs, and emphasises the
role of input guardrails in safeguarding these models. We introduce MoJE
(Mixture of Jailbreak Expert), a novel guardrail architecture designed to
surpass current limitations in existing state-of-the-art guardrails. By
employing simple linguistic statistical techniques, MoJE excels in detecting
jailbreak attacks while maintaining minimal computational overhead during model
inference. Through rigorous experimentation, MoJE demonstrates superior
performance capable of detecting 90% of the attacks without compromising benign
prompts, enhancing LLMs security against jailbreak attacks.",2024-09-26 10:12:19+00:00,cs.CR,http://arxiv.org/pdf/2409.17699v2,MoJE_Mixture_of_Jailbreak_Experts_Naive_Tabular_Classifiers_as_Guard_for_Prompt_Attacks
MIO: A Foundation Model on Multimodal Tokens,"Zekun Wang, King Zhu, Chunpu Xu, Wangchunshu Zhou, Jiaheng Liu, Yibo Zhang, Jiashuo Wang, Ning Shi, Siyu Li, Yizhi Li, Haoran Que, Zhaoxiang Zhang, Yuanxing Zhang, Ge Zhang, Ke Xu, Jie Fu, Wenhao Huang","In this paper, we introduce MIO, a novel foundation model built on multimodal
tokens, capable of understanding and generating speech, text, images, and
videos in an end-to-end, autoregressive manner. While the emergence of large
language models (LLMs) and multimodal large language models (MM-LLMs) propels
advancements in artificial general intelligence through their versatile
capabilities, they still lack true any-to-any understanding and generation.
Recently, the release of GPT-4o has showcased the remarkable potential of
any-to-any LLMs for complex real-world tasks, enabling omnidirectional input
and output across images, speech, and text. However, it is closed-source and
does not support the generation of multimodal interleaved sequences. To address
this gap, we present MIO, which is trained on a mixture of discrete tokens
across four modalities using causal multimodal modeling. MIO undergoes a
four-stage training process: (1) alignment pre-training, (2) interleaved
pre-training, (3) speech-enhanced pre-training, and (4) comprehensive
supervised fine-tuning on diverse textual, visual, and speech tasks. Our
experimental results indicate that MIO exhibits competitive, and in some cases
superior, performance compared to previous dual-modal baselines, any-to-any
model baselines, and even modality-specific baselines. Moreover, MIO
demonstrates advanced capabilities inherent to its any-to-any feature, such as
interleaved video-text generation, chain-of-visual-thought reasoning, visual
guideline generation, instructional image editing, etc.",2024-09-26 09:57:16+00:00,cs.CL,http://arxiv.org/pdf/2409.17692v1,MIO_A_Foundation_Model_on_Multimodal_Tokens
Zero- and Few-shot Named Entity Recognition and Text Expansion in Medication Prescriptions using ChatGPT,"Natthanaphop Isaradech, Andrea Riedel, Wachiranun Sirikul, Markus Kreuzthaler, Stefan Schulz","Introduction: Medication prescriptions are often in free text and include a
mix of two languages, local brand names, and a wide range of idiosyncratic
formats and abbreviations. Large language models (LLMs) have shown promising
ability to generate text in response to input prompts. We use ChatGPT 3.5 to
automatically structure and expand medication statements in discharge summaries
and thus make them easier to interpret for people and machines. Methods:
Named-entity Recognition (NER) and Text Expansion (EX) are used in a zero- and
few-shot setting with different prompt strategies. 100 medication statements
were manually annotated and curated. NER performance was measured by using
strict and partial matching. For the task EX, two experts interpreted the
results by assessing semantic equivalence between original and expanded
statements. The model performance was measured by precision, recall, and F1
score. Results: For NER, the best-performing prompt reached an average F1 score
of 0.94 in the test set. For EX, the few-shot prompt showed superior
performance among other prompts, with an average F1 score of 0.87. Conclusion:
Our study demonstrates good performance for NER and EX tasks in free-text
medication statements using ChatGPT. Compared to a zero-shot baseline, a
few-shot approach prevented the system from hallucinating, which would be
unacceptable when processing safety-relevant medication data.",2024-09-26 09:49:27+00:00,cs.CL,http://arxiv.org/pdf/2409.17683v1,Zero_and_Fewshot_Named_Entity_Recognition_and_Text_Expansion_in_Medication_Prescriptions_using_ChatGPT
AssistantX: An LLM-Powered Proactive Assistant in Collaborative Human-Populated Environment,"Nan Sun, Bo Mao, Yongchang Li, Lumeng Ma, Di Guo, Huaping Liu","The increasing demand for intelligent assistants in human-populated
environments has motivated significant research in autonomous robotic systems.
Traditional service robots and virtual assistants, however, struggle with
real-world task execution due to their limited capacity for dynamic reasoning
and interaction, particularly when human collaboration is required. Recent
developments in Large Language Models have opened new avenues for improving
these systems, enabling more sophisticated reasoning and natural interaction
capabilities. In this paper, we introduce AssistantX, an LLM-powered proactive
assistant designed to operate autonomously in a physical office environment.
Unlike conventional service robots, AssistantX leverages a novel multi-agent
architecture, PPDR4X, which provides advanced inference capabilities and
comprehensive collaboration awareness. By effectively bridging the gap between
virtual operations and physical interactions, AssistantX demonstrates robust
performance in managing complex real-world scenarios. Our evaluation highlights
the architecture's effectiveness, showing that AssistantX can respond to clear
instructions, actively retrieve supplementary information from memory, and
proactively seek collaboration from team members to ensure successful task
completion. More details and videos can be found at
https://assistantx-agent.github.io/AssistantX/.",2024-09-26 09:06:56+00:00,cs.RO,http://arxiv.org/pdf/2409.17655v1,AssistantX_An_LLMPowered_Proactive_Assistant_in_Collaborative_HumanPopulated_Environment
Digital Twin Ecosystem for Oncology Clinical Operations,"Himanshu Pandey, Akhil Amod, Shivang, Kshitij Jaggi, Ruchi Garg, Abheet Jain, Vinayak Tantia","Artificial Intelligence (AI) and Large Language Models (LLMs) hold
significant promise in revolutionizing healthcare, especially in clinical
applications. Simultaneously, Digital Twin technology, which models and
simulates complex systems, has gained traction in enhancing patient care.
However, despite the advances in experimental clinical settings, the potential
of AI and digital twins to streamline clinical operations remains largely
untapped. This paper introduces a novel digital twin framework specifically
designed to enhance oncology clinical operations. We propose the integration of
multiple specialized digital twins, such as the Medical Necessity Twin, Care
Navigator Twin, and Clinical History Twin, to enhance workflow efficiency and
personalize care for each patient based on their unique data. Furthermore, by
synthesizing multiple data sources and aligning them with the National
Comprehensive Cancer Network (NCCN) guidelines, we create a dynamic Cancer Care
Path, a continuously evolving knowledge base that enables these digital twins
to provide precise, tailored clinical recommendations.",2024-09-26 08:56:54+00:00,cs.AI,http://arxiv.org/pdf/2409.17650v1,Digital_Twin_Ecosystem_for_Oncology_Clinical_Operations
Efficient In-Domain Question Answering for Resource-Constrained Environments,"Isaac Chung, Phat Vo, Arman Kizilkale, Aaron Reite","Retrieval Augmented Generation (RAG) is a common method for integrating
external knowledge into pretrained Large Language Models (LLMs) to enhance
accuracy and relevancy in question answering (QA) tasks. However, prompt
engineering and resource efficiency remain significant bottlenecks in
developing optimal and robust RAG solutions for real-world QA applications.
Recent studies have shown success in using fine tuning to address these
problems; in particular, Retrieval Augmented Fine Tuning (RAFT) applied to
smaller 7B models has demonstrated superior performance compared to RAG setups
with much larger models such as GPT-3.5. The combination of RAFT with
parameter-efficient fine tuning (PEFT) techniques, such as Low-Rank Adaptation
(LoRA), promises an even more efficient solution, yet remains an unexplored
area. In this work, we combine RAFT with LoRA to reduce fine tuning and storage
requirements and gain faster inference times while maintaining comparable RAG
performance. This results in a more compute-efficient RAFT, or CRAFT, which is
particularly useful for knowledge-intensive QA tasks in resource-constrained
environments where internet access may be restricted and hardware resources
limited.",2024-09-26 08:55:21+00:00,cs.CL,http://arxiv.org/pdf/2409.17648v1,Efficient_InDomain_Question_Answering_for_ResourceConstrained_Environments
AI Delegates with a Dual Focus: Ensuring Privacy and Strategic Self-Disclosure,"Xi Chen, Zhiyang Zhang, Fangkai Yang, Xiaoting Qin, Chao Du, Xi Cheng, Hangxin Liu, Qingwei Lin, Saravan Rajmohan, Dongmei Zhang, Qi Zhang","Large language model (LLM)-based AI delegates are increasingly utilized to
act on behalf of users, assisting them with a wide range of tasks through
conversational interfaces. Despite their advantages, concerns arise regarding
the potential risk of privacy leaks, particularly in scenarios involving social
interactions. While existing research has focused on protecting privacy by
limiting the access of AI delegates to sensitive user information, many social
scenarios require disclosing private details to achieve desired outcomes,
necessitating a balance between privacy protection and disclosure. To address
this challenge, we conduct a pilot study to investigate user preferences for AI
delegates across various social relations and task scenarios, and then propose
a novel AI delegate system that enables privacy-conscious self-disclosure. Our
user study demonstrates that the proposed AI delegate strategically protects
privacy, pioneering its use in diverse and dynamic social interactions.",2024-09-26 08:45:15+00:00,cs.AI,http://arxiv.org/pdf/2409.17642v1,AI_Delegates_with_a_Dual_Focus_Ensuring_Privacy_and_Strategic_SelfDisclosure
